@relation 'classification file'

@attribute Headline string
@attribute label_class {ANGER,DISGUST,FEAR,JOY,SADNESS,SURPRISE}

@data
'5,000 flee plant fire',FEAR
'Gunman \'fine\' before shooting',SADNESS
'Police warn of child exploitation online',DISGUST
'On Educating Sexes Separately',SURPRISE
'UK announces immigration restrictions',ANGER
'We\'re a pretty kind \'bully\'',JOY
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',SADNESS
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',SADNESS
'New Iraq terror tape calls for abducting foreigners',FEAR
'Kim Osorio Wins Sexual Harrassment Suit Against The Source',JOY
'Happy birthday, iPod',JOY
'United Finds Good Connection in Win',JOY
'Confusion Reigns In the Expanding Digital World',SURPRISE
'Scientists discover miracle in the depths',SURPRISE
'PM: Havana deal a good experiment',JOY
'Mortar assault leaves at least 18 dead',SADNESS
'Abbas condemns Israeli massacre in northern Gaza Strip',DISGUST
'Nails-on-chalkboard study earns Ig',DISGUST
'Celebrities Protest Malibu Gas Facility',SADNESS
'Briton admits U.S. bomb plot role',SADNESS
'Judge dismisses Karr\'s porn case',SURPRISE
'Beyonce copyright claim rejected',ANGER
'$10,000 poetry prize awarded',JOY
'\'Deep regret\' for ex-HP exec',SADNESS
'Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says',FEAR
'Deaths linked to flu vaccine',SADNESS
'Equipment on Plane in Brazil Collision May Have Been Faulty',SADNESS
'Across Europe, Worries on Islam Spread to Center',SADNESS
'Presto! He\'s Batman, then magic man',SURPRISE
'Military Officials Add to U.S. Criticism of Iraq\'s Government',JOY
'Breast Cancer Awareness is Important',FEAR
'Google To Launch Yet Another Search Tool',JOY
'Spanish journalist seized in Gaza',FEAR
'Riot warning for France suburbs',SADNESS
'Toddler died from tainted spinach',SADNESS
'Baseball: Rogers enjoys his muddied streak',JOY
'Silly and substantial',JOY
'Trailblazing trio protects City by the Bay',JOY
'Girl left comatose after dental visit dies',SADNESS
'Tropical Storm Isaac forms in Atlantic',FEAR
'Three drivers had reason to be proud in Brazil',JOY
'Waste plant fire forces 5,000 to evacuate',SADNESS
'Putin vows to tackle illegal immigration',ANGER
'Madonna\'s New Tot \'Happy at Home\' in London',JOY
'Iran\'s president urges higher birth rate',SURPRISE
'Kurdish Lawmaker Killed in an Attack in Baghdad',FEAR
'Diplomat acknowledges US arrogance in Iraq',ANGER
'Police and shoppers targeted in growing Iraq violence',FEAR
'Kentucky wants to ban alcohol inhalers',SURPRISE
'Magazine lists women who had abortions',ANGER
'Tailors and housewives busy as Muslims celebrate Eid',JOY
'Lily Allen wins web music award',JOY
'Vegetables, not fruit, slow brain decline',SURPRISE
'Commentary: Minutemen have a right to be idiotic',ANGER
'Kidnapped AP photographer freed in Gaza',FEAR
'China launches two satellites into orbit',JOY
'U.S. Warns North Koreans About Nuclear Test',FEAR
'Perfect lives lose their focus',JOY
'Pamuk wins Nobel Literature prize',JOY
'NASA revisiting life on Mars question',SURPRISE
'Gunmen kill 9 at Iraqi TV station',FEAR
'Bangladesh ferry sinks, 15 dead',SADNESS
'Beating poverty in a small way',JOY
'Rice, in Baghdad, Insists That Iraqis Are',ANGER
'German Chief Forges Accord on Financing Health Care',JOY
'Parachutist dies at bridge-jump festival',SADNESS
'Report criticises US press freedoms',ANGER
'Goal delight for Sheva',JOY
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',SADNESS
'Pair of Satellites Will Document Sun in 3-D',JOY
'Bread-Heavy Diet Linked to Kidney Cancer',FEAR
'Marijuana may stave off Alzheimer\'s',SURPRISE
'Cher items snapped up at auction',JOY
'Speaker Hastert testifies before panel probing sex scandal',DISGUST
'Melua\'s deep sea gig sets record',JOY
'Charlie Sheen to become highest-paid sitcom star',JOY
'An Elephant Crackup?',SADNESS
'Navarrette: Minutemen have a right to be idiotic',SADNESS
'Dow flirts with record highs again',JOY
'Resolution approved for international games',JOY
'Dow hits new record, eyes 12,000',JOY
'Making peace from victory over poverty',JOY
'Moderate drinking reduces men\'s heart attack risk',JOY
'Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out',FEAR
'A Picture and A Thousand Words',SURPRISE
'Google to unveil election mashup',SURPRISE
'Doctors Seeing Patients Who Think They\'re Internet Addicted',SADNESS
'Life on Mars? Maybe We Missed It',SURPRISE
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',SURPRISE
'Marine killed in fighting west of Baghdad',SADNESS
'Tom Cruise and Katie Holmes set wedding date',JOY
'Tumor Types May Explain Survival Rates for Cancer',SADNESS
'Brazil Air Force Cites Faults and Confusion in Fatal Crash',SADNESS
'Paris Journal: Smoking No Longer Tres Chic in France',JOY
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',SURPRISE
'NASA spacecraft to measure Sun',JOY
'Active peace brings the promise of development',JOY
'New Indonesia Calamity, a Mud Bath, Is Man-Made',SADNESS
'Bombers kill shoppers',FEAR
'Students lose their rite of passage',SADNESS
'Opera Canceled Over a Depiction of Muhammad',SADNESS
'Questions on credit card safety',FEAR
'China Successfully Launches Two Satellites',JOY
'Cooking Defines Sephardic Jews at Sukkot',JOY
'\'Runway\': Making Good Without Making Nice',JOY
'Official laughs for Borat',JOY
'Israel insists on Lebanon overflights',ANGER
'Kate is marrying Doherty',JOY
'Appeal by Chinese Researcher for Times May Soon Be Heard',JOY
'Injured Marathon Winner Leaves Hospital',JOY
'Budapest calm after night of violent protests',ANGER
'Las Vegas honour for tiger pair',JOY
'Dead Bachelors in Remote China Still Find Wives',SURPRISE
'\'Opportunity\' knocks on geologist\'s dream crater',JOY
'Hastert sorry for scandal but not quitting',SADNESS
'School ends football season after 0-4 start',SURPRISE
'Stanford study warns of Internet addiction',FEAR
'Martian Life Could Have Evaded Detection by Viking Landers',SURPRISE
