@relation 'classification file'

@attribute Headline string
@attribute anger numeric
@attribute fear numeric
@attribute disust numeric
@attribute joy numeric
@attribute sadness numeric
@attribute surprise numeric

@data
'5,000 flee plant fire',0,1,0,0,0,0
'Gunman \'fine\' before shooting',0,0,0,0,0,0
'Police warn of child exploitation online',1,0,1,0,0,0
'On Educating Sexes Separately',0,0,0,0,0,0
'UK announces immigration restrictions',0,0,0,0,0,0
'We\'re a pretty kind \'bully\'',0,0,0,0,0,0
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',0,0,0,0,0,0
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',0,0,0,0,1,0
'New Iraq terror tape calls for abducting foreigners',0,1,0,0,0,0
'Kim Osorio Wins Sexual Harrassment Suit Against The Source',0,0,0,0,0,0
'Happy birthday, iPod',0,0,0,1,0,0
'United Finds Good Connection in Win',0,0,0,1,0,0
'Confusion Reigns In the Expanding Digital World',0,0,0,0,0,0
'Scientists discover miracle in the depths',0,0,0,0,0,0
'PM: Havana deal a good experiment',0,0,0,0,0,0
'Mortar assault leaves at least 18 dead',0,1,0,0,1,0
'Abbas condemns Israeli massacre in northern Gaza Strip',1,1,1,0,1,0
'Nails-on-chalkboard study earns Ig',0,0,0,0,0,0
'Celebrities Protest Malibu Gas Facility',0,0,0,0,0,0
'Briton admits U.S. bomb plot role',0,0,0,0,0,0
'Judge dismisses Karr\'s porn case',0,0,0,0,0,0
'Beyonce copyright claim rejected',0,0,0,0,0,0
'$10,000 poetry prize awarded',0,0,0,1,0,0
'\'Deep regret\' for ex-HP exec',0,0,0,0,0,0
'Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says',0,0,0,0,0,0
'Deaths linked to flu vaccine',0,1,0,0,1,0
'Equipment on Plane in Brazil Collision May Have Been Faulty',0,0,0,0,1,0
'Across Europe, Worries on Islam Spread to Center',0,0,0,0,0,0
'Presto! He\'s Batman, then magic man',0,0,0,0,0,0
'Military Officials Add to U.S. Criticism of Iraq\'s Government',0,0,0,0,0,0
'Breast Cancer Awareness is Important',0,0,0,0,0,0
'Google To Launch Yet Another Search Tool',0,0,0,0,0,0
'Spanish journalist seized in Gaza',1,1,1,0,1,0
'Riot warning for France suburbs',0,0,0,0,1,0
'Toddler died from tainted spinach',1,0,0,0,1,0
'Baseball: Rogers enjoys his muddied streak',0,0,0,1,0,0
'Silly and substantial',0,0,0,0,0,0
'Trailblazing trio protects City by the Bay',0,0,0,0,0,0
'Girl left comatose after dental visit dies',0,1,0,0,1,0
'Tropical Storm Isaac forms in Atlantic',0,1,0,0,0,0
'Three drivers had reason to be proud in Brazil',0,0,0,0,0,0
'Waste plant fire forces 5,000 to evacuate',0,0,0,0,1,0
'Putin vows to tackle illegal immigration',0,0,0,0,0,0
'Madonna\'s New Tot \'Happy at Home\' in London',0,0,0,1,0,0
'Iran\'s president urges higher birth rate',0,0,0,0,0,0
'Kurdish Lawmaker Killed in an Attack in Baghdad',1,1,0,0,1,0
'Diplomat acknowledges US arrogance in Iraq',0,0,0,0,0,0
'Police and shoppers targeted in growing Iraq violence',0,1,0,0,1,0
'Kentucky wants to ban alcohol inhalers',0,0,0,0,0,0
'Magazine lists women who had abortions',0,0,0,0,0,0
'Tailors and housewives busy as Muslims celebrate Eid',0,0,0,1,0,0
'Lily Allen wins web music award',0,0,0,1,0,0
'Vegetables, not fruit, slow brain decline',0,0,0,0,0,0
'Commentary: Minutemen have a right to be idiotic',0,0,0,0,0,0
'Kidnapped AP photographer freed in Gaza',0,0,0,0,0,0
'China launches two satellites into orbit',0,0,0,0,0,0
'U.S. Warns North Koreans About Nuclear Test',0,0,0,0,0,0
'Perfect lives lose their focus',0,0,0,0,0,0
'Pamuk wins Nobel Literature prize',0,0,0,1,0,0
'NASA revisiting life on Mars question',0,0,0,0,0,0
'Gunmen kill 9 at Iraqi TV station',0,1,0,0,1,0
'Bangladesh ferry sinks, 15 dead',0,0,0,0,1,0
'Beating poverty in a small way',0,0,0,0,0,0
'Rice, in Baghdad, Insists That Iraqis Are',0,0,0,0,0,0
'German Chief Forges Accord on Financing Health Care',0,0,0,0,0,0
'Parachutist dies at bridge-jump festival',0,0,0,0,1,0
'Report criticises US press freedoms',0,0,0,0,0,0
'Goal delight for Sheva',0,0,0,1,0,0
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',0,0,0,0,0,0
'Pair of Satellites Will Document Sun in 3-D',0,0,0,0,0,0
'Bread-Heavy Diet Linked to Kidney Cancer',0,1,0,0,0,0
'Marijuana may stave off Alzheimer\'s',0,0,0,0,0,0
'Cher items snapped up at auction',0,0,0,0,0,0
'Speaker Hastert testifies before panel probing sex scandal',0,0,0,0,0,0
'Melua\'s deep sea gig sets record',0,0,0,1,0,0
'Charlie Sheen to become highest-paid sitcom star',0,0,0,1,0,0
'An Elephant Crackup?',0,0,0,0,0,0
'Navarrette: Minutemen have a right to be idiotic',0,0,0,0,0,0
'Dow flirts with record highs again',0,0,0,1,0,1
'Resolution approved for international games',0,0,0,0,0,0
'Dow hits new record, eyes 12,000',0,0,0,0,0,0
'Making peace from victory over poverty',0,0,0,1,0,0
'Moderate drinking reduces men\'s heart attack risk',0,0,0,0,0,0
'Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out',0,1,0,0,0,0
'A Picture and A Thousand Words',0,0,0,0,0,0
'Google to unveil election mashup',0,0,0,0,0,0
'Doctors Seeing Patients Who Think They\'re Internet Addicted',0,0,0,0,0,0
'Life on Mars? Maybe We Missed It',0,0,0,0,0,0
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',0,0,0,0,0,0
'Marine killed in fighting west of Baghdad',0,0,0,0,0,0
'Tom Cruise and Katie Holmes set wedding date',0,0,0,1,0,0
'Tumor Types May Explain Survival Rates for Cancer',0,0,0,0,0,0
'Brazil Air Force Cites Faults and Confusion in Fatal Crash',0,0,0,0,1,0
'Paris Journal: Smoking No Longer Tres Chic in France',0,0,0,0,0,0
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',0,0,0,0,0,0
'NASA spacecraft to measure Sun',0,0,0,0,0,0
'Active peace brings the promise of development',0,0,0,1,0,0
'New Indonesia Calamity, a Mud Bath, Is Man-Made',1,0,0,0,1,0
'Bombers kill shoppers',1,1,0,0,1,0
'Students lose their rite of passage',0,0,0,0,0,0
'Opera Canceled Over a Depiction of Muhammad',0,0,0,0,0,0
'Questions on credit card safety',0,0,0,0,0,0
'China Successfully Launches Two Satellites',0,0,0,1,0,0
'Cooking Defines Sephardic Jews at Sukkot',0,0,0,0,0,0
'\'Runway\': Making Good Without Making Nice',0,0,0,0,0,0
'Official laughs for Borat',0,0,0,0,0,0
'Israel insists on Lebanon overflights',0,0,0,0,0,0
'Kate is marrying Doherty',0,0,0,1,0,0
'Appeal by Chinese Researcher for Times May Soon Be Heard',0,0,0,0,0,0
'Injured Marathon Winner Leaves Hospital',0,0,0,1,0,0
'Budapest calm after night of violent protests',0,0,0,0,0,0
'Las Vegas honour for tiger pair',0,0,0,1,0,0
'Dead Bachelors in Remote China Still Find Wives',0,0,0,0,0,0
'\'Opportunity\' knocks on geologist\'s dream crater',0,0,0,0,0,0
'Hastert sorry for scandal but not quitting',0,0,0,0,0,0
'School ends football season after 0-4 start',0,0,0,0,0,0
'Stanford study warns of Internet addiction',0,0,0,0,0,0
'Martian Life Could Have Evaded Detection by Viking Landers',0,0,0,0,0,0
'Teacher in Hiding After Attack on Islam Stirs Threats',0,0,0,0,0,0
'Lies, damned lies, and divorce',0,0,0,0,0,0
'Cultural revolutionary, the iPod is five',0,0,0,1,0,0
'Flooding washes out road to Valdez, Alaska',0,0,0,0,0,0
'Vegetables May Boost Brain Power in Older Adults',0,0,0,0,0,0
'Russian ship sinks in Pacific',0,0,0,0,1,0
'Alonso would be happy to retire with three titles',0,0,0,1,0,0
'Chefs not counting calories, study finds',0,0,0,0,0,0
'Scientists create first cloaking device',0,0,0,0,0,0
'The sweet tune of an anniversary',0,0,0,1,0,0
'Dem leader\'s $1 million land deal under scrutiny',0,0,0,0,0,0
'Prestige has magic touch',0,0,0,0,0,0
'Dating difficult for Harry Potter',0,0,0,0,0,0
'Porn star candidate campaigns on campus',0,0,0,0,0,0
'Yankee Dies in Plane Crash, Official Says',0,0,0,0,1,0
'Alzheimer\'s Drugs Offer No Help, Study Finds',0,0,0,0,1,0
'Hurricane Paul Weakens To Tropical Storm',0,0,0,0,0,0
'Bush Insists Troops Stay in Iraq, Predicts Midterm Victory',0,0,1,0,0,0
'Jon Stewart mocks benefits of CNN\'s I',0,0,0,0,0,0
'Photographer kidnapping condemned',0,0,1,0,0,0
'Hungary police tackle violent protestors',0,0,0,0,0,0
'Fitness: Bodies in Motion, Clean and Sober',0,0,0,1,0,0
'Kentucky seeks alcohol huffing ban',0,0,0,0,0,0
'College tuition continues climbing',1,0,0,0,0,0
'Bad reasons to be good',0,0,0,0,0,0
'Amish killings school demolished',0,0,0,0,0,0
'Bucs find a new kick in life',0,0,0,0,0,0
'Apple set for massive market gains',0,0,0,0,0,0
'Manning inspires Giants to victory in Dallas',0,0,0,0,0,0
'Turkish Writers Say Efforts to Stifle Speech May Backfire',0,0,0,0,0,0
'Griffiths scorns Withnail \'play\'',0,0,0,0,0,0
'Three found alive from missing Russian ship -report',0,0,0,1,0,1
'Hacker unlocks Apple music download protection',0,0,0,0,0,1
'Israeli Bomblets Plague Lebanon',1,1,0,0,0,0
'Israel admits using phosphorous shells in Lebanon',1,0,0,0,1,0
'U.S. Weighs Sanctions Against North Korea',1,0,0,0,0,0
'10 die in 22-hour Kashmir standoff',0,1,0,0,1,0
'Warner will not run in \'08',0,0,0,0,0,0
'Ukraine gas deal marred by fears',0,1,0,0,0,0
'Stars scuffle on \'Grey\'s Anatomy\'',0,0,0,0,0,0
'Women Face Greatest Threat of Violence at Home, Study Finds',1,1,1,0,1,0
'A Mix of Oil and Environmentalism',0,0,0,0,0,0
'Did Viking Probes Miss Life on Mars?',0,0,0,0,0,0
